ibge7;Município;Taxa de mortalidade por câncer de colo de útero;Taxa de mortalidade por câncer de mama;Taxa de mortalidade por câncer de pulmão
3108701;Brás Pires;0,00;0,00;0,00
3108800;Braúnas;0,00;0,00;22,52
3108909;Brazópolis;0,00;14,08;21,06
3109006;Brumadinho;5,14;10,29;15,42
3109105;Bueno Brandão;0,00;18,81;9,17
3109204;Buenópolis;0,00;21,66;0,00
3109253;Bugre;0,00;0,00;24,75
3109303;Buritis;8,38;0,00;20,80
3109402;Buritizeiro;0,00;16,59;16,73
3109451;Cabeceira Grande;0,00;0,00;0,00
3109501;Cabo Verde;0,00;36,17;0,00
3109600;Cachoeira da Prata;0,00;51,55;27,08
3109709;Cachoeira de Minas;0,00;0,00;0,00
3102704;Cachoeira de Pajeú;0,00;0,00;0,00
3109808;Cachoeira Dourada;0,00;0,00;43,20
3109907;Caetanópolis;0,00;34,49;0,00
3110004;Caeté;5,00;5,00;5,16
3110103;Caiana;0,00;0,00;0,00
3110202;Cajuri;0,00;50,08;0,00
3110301;Caldas;0,00;28,58;14,07
3110400;Camacho;0,00;0,00;0,00
3110509;Camanducaia;0,00;15,48;3,83
3110608;Cambuí;0,00;6,69;23,70
3110707;Cambuquira;0,00;15,92;8,12
3110806;Campanário;0,00;0,00;34,21
3110905;Campanha;0,00;12,47;18,83
3111002;Campestre;9,94;0,00;14,50
3111101;Campina Verde;0,00;22,42;16,66
3111150;Campo Azul;0,00;0,00;26,93
3111200;Campo Belo;7,43;18,57;13,39
3111309;Campo do Meio;0,00;35,45;17,58
3111408;Campo Florido;0,00;0,00;0,00
3111507;Campos Altos;15,37;0,00;23,11
3111606;Campos Gerais;0,00;7,73;11,49
3111705;Canaã;0,00;0,00;0,00
3111804;Canápolis;0,00;18,98;28,28
3111903;Cana Verde;0,00;38,42;0,00
3112000;Candeias;0,00;0,00;7,14
3112059;Cantagalo;0,00;0,00;0,00
3112109;Caparaó;0,00;40,63;0,00
3112208;Capela Nova;0,00;0,00;0,00
3112307;Capelinha;14,96;4,99;7,57
3112406;Capetinga;0,00;31,35;30,48
3112505;Capim Branco;0,00;55,08;18,76
3112604;Capinópolis;0,00;40,43;34,12
3112653;Capitão Andrade;0,00;0,00;0,00
3112703;Capitão Enéas;0,00;14,20;0,00
3112802;Capitólio;0,00;38,72;9,63
3112901;Caputira;0,00;0,00;0,00
3113008;Caraí;10,24;0,00;0,00
3113107;Caranaíba;0,00;0,00;0,00
3113206;Carandaí;8,29;24,86;8,40
3113305;Carangola;0,00;37,02;16,01
3113404;Caratinga;8,91;15,59;9,16
3113503;Carbonita;0,00;0,00;11,75
3113602;Careaçu;29,71;0,00;0,00
3113701;Carlos Chagas;0,00;0,00;32,23
